ServerTime,ESP_ms,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,IR,Label
2025-04-29 14:38:15.040358,95315,-0.223,-0.740,10.836,-0.034,0.039,-0.019,91166,awake
2025-04-29 14:38:15.040358,95335,-0.220,-0.728,10.760,-0.068,0.047,-0.029,91303,awake
2025-04-29 14:38:15.040358,95355,-0.168,-0.685,10.673,-0.054,0.049,-0.024,91185,awake
2025-04-29 14:38:15.040358,95375,-0.163,-0.656,10.678,-0.006,0.043,-0.008,90470,awake
2025-04-29 14:38:15.040358,95395,-0.242,-0.673,10.731,0.024,0.035,-0.000,89513,awake
2025-04-29 14:38:15.040358,95415,-0.297,-0.690,10.827,0.002,0.031,-0.011,88815,awake
2025-04-29 14:38:15.065310,95435,-0.244,-0.716,10.793,-0.036,0.036,-0.029,88586,awake
2025-04-29 14:38:15.093592,95455,-0.184,-0.740,10.695,-0.059,0.043,-0.032,88501,awake
2025-04-29 14:38:15.108403,95475,-0.201,-0.711,10.693,-0.048,0.047,-0.025,88632,awake
2025-04-29 14:38:15.126779,95495,-0.168,-0.639,10.695,-0.015,0.044,-0.019,88870,awake
2025-04-29 14:38:15.143361,95515,-0.180,-0.654,10.791,-0.012,0.042,-0.011,89065,awake
2025-04-29 14:38:15.162932,95535,-0.271,-0.769,10.788,-0.052,0.035,-0.017,89252,awake
2025-04-29 14:38:15.176492,95555,-0.232,-0.778,10.755,-0.088,0.058,-0.029,89377,awake
2025-04-29 14:38:15.210701,95575,-0.175,-0.814,10.676,-0.079,0.054,-0.028,89636,awake
2025-04-29 14:38:15.225389,95595,-0.160,-0.792,10.621,-0.025,0.047,-0.015,89887,awake
2025-04-29 14:38:15.242350,95615,-0.146,-0.735,10.685,0.030,0.039,-0.001,90056,awake
2025-04-29 14:38:15.259480,95635,-0.249,-0.711,10.755,0.041,0.036,0.003,90173,awake
2025-04-29 14:38:15.288580,95655,-0.273,-0.809,10.855,-0.013,0.040,-0.010,90243,awake
2025-04-29 14:38:15.312012,95675,-0.261,-0.867,10.750,-0.075,0.049,-0.026,89887,awake
2025-04-29 14:38:15.434835,95695,-0.223,-0.886,10.666,-0.071,0.051,-0.029,90067,awake
2025-04-29 14:38:15.434835,95715,-0.194,-0.809,10.602,0.006,0.039,-0.018,90093,awake
2025-04-29 14:38:15.434835,95735,-0.199,-0.723,10.669,0.095,0.021,0.000,90164,awake
2025-04-29 14:38:15.434835,95755,-0.213,-0.654,10.743,0.132,0.019,0.005,90352,awake
2025-04-29 14:38:15.434835,95775,-0.218,-0.577,10.846,0.095,0.021,-0.005,90517,awake
2025-04-29 14:38:15.434835,95795,-0.206,-0.575,10.865,0.020,0.029,-0.013,90623,awake
2025-04-29 14:38:15.443433,95815,-0.194,-0.620,10.800,-0.038,0.036,-0.015,90686,awake
2025-04-29 14:38:15.475909,95835,-0.227,-0.704,10.745,-0.059,0.043,-0.015,90777,awake
2025-04-29 14:38:15.489298,95855,-0.304,-0.754,10.678,-0.036,0.045,-0.022,90992,awake
2025-04-29 14:38:15.504215,95875,-0.280,-0.718,10.666,0.012,0.043,-0.030,91228,awake
2025-04-29 14:38:15.529529,95895,-0.175,-0.709,10.719,0.050,0.038,-0.027,91508,awake
2025-04-29 14:38:15.553485,95915,-0.156,-0.692,10.764,0.056,0.029,-0.021,91576,awake
2025-04-29 14:38:15.573100,95935,-0.168,-0.663,10.762,0.043,0.031,-0.019,91760,awake
2025-04-29 14:38:15.576351,95955,-0.237,-0.584,10.752,0.035,0.033,-0.024,91938,awake
2025-04-29 14:38:15.596228,95975,-0.215,-0.579,10.803,0.028,0.032,-0.025,92083,awake
2025-04-29 14:38:15.629629,95995,-0.201,-0.608,10.760,0.015,0.033,-0.024,92137,awake
2025-04-29 14:38:15.643176,96015,-0.223,-0.654,10.736,0.008,0.033,-0.022,91804,awake
2025-04-29 14:38:15.660965,96035,-0.266,-0.646,10.743,0.015,0.043,-0.030,91027,awake
2025-04-29 14:38:15.693678,96055,-0.232,-0.599,10.697,0.035,0.036,-0.037,89984,awake
2025-04-29 14:38:15.809818,96075,-0.192,-0.611,10.719,0.057,0.027,-0.037,89377,awake
2025-04-29 14:38:15.809818,96095,-0.213,-0.570,10.745,0.068,0.019,-0.046,89180,awake
2025-04-29 14:38:15.809818,96115,-0.170,-0.512,10.772,0.065,0.020,-0.065,89268,awake
2025-04-29 14:38:15.809818,96135,-0.184,-0.445,10.762,0.048,0.027,-0.041,89984,awake
2025-04-29 14:38:15.809818,96155,-0.170,-0.431,10.767,0.035,0.035,-0.017,89807,awake
2025-04-29 14:38:15.809818,96175,-0.223,-0.455,10.760,0.026,0.036,-0.016,90022,awake
2025-04-29 14:38:15.826728,96195,-0.206,-0.510,10.800,-0.001,0.039,-0.027,90327,awake
2025-04-29 14:38:15.847003,96215,-0.180,-0.524,10.726,-0.020,0.043,-0.033,90554,awake
2025-04-29 14:38:15.861146,96235,-0.215,-0.515,10.740,-0.011,0.043,-0.028,90784,awake
2025-04-29 14:38:15.881897,96255,-0.208,-0.524,10.712,0.014,0.041,-0.027,90935,awake
2025-04-29 14:38:15.893828,96275,-0.184,-0.486,10.752,0.030,0.036,-0.026,90980,awake
2025-04-29 14:38:15.929108,96295,-0.192,-0.464,10.807,0.025,0.033,-0.019,90990,awake
2025-04-29 14:38:15.949765,96315,-0.189,-0.469,10.743,0.013,0.041,-0.014,90971,awake
2025-04-29 14:38:15.973341,96335,-0.199,-0.488,10.750,0.016,0.044,-0.009,90906,awake
2025-04-29 14:38:15.991041,96355,-0.220,-0.500,10.750,0.021,0.043,-0.010,90853,awake
2025-04-29 14:38:16.006352,96375,-0.218,-0.527,10.779,0.023,0.039,-0.011,90744,awake
2025-04-29 14:38:16.042383,96395,-0.172,-0.462,10.716,0.026,0.042,-0.011,90715,awake
2025-04-29 14:38:16.049000,96415,-0.206,-0.405,10.772,0.033,0.043,-0.009,90795,awake
2025-04-29 14:38:16.070045,96435,-0.187,-0.381,10.774,0.026,0.042,-0.016,90891,awake
2025-04-29 14:38:16.209578,96455,-0.215,-0.429,10.800,0.013,0.059,-0.028,90922,awake
2025-04-29 14:38:16.209578,96475,-0.263,-0.464,10.721,0.007,0.051,-0.044,91002,awake
2025-04-29 14:38:16.209578,96495,-0.184,-0.448,10.702,0.020,0.064,-0.043,91092,awake
2025-04-29 14:38:16.209578,96515,-0.139,-0.405,10.707,0.050,0.052,-0.017,91043,awake
2025-04-29 14:38:16.209578,96535,-0.182,-0.388,10.781,0.069,0.040,0.009,91121,awake
2025-04-29 14:38:16.210095,96555,-0.244,-0.345,10.855,0.048,0.037,0.006,91159,awake
2025-04-29 14:38:16.210095,96575,-0.232,-0.306,10.788,0.020,0.063,-0.008,91267,awake
2025-04-29 14:38:16.232091,96595,-0.199,-0.273,10.760,0.014,0.078,-0.020,91043,awake
2025-04-29 14:38:16.242999,96615,-0.251,-0.321,10.772,0.021,0.066,-0.022,91346,awake
2025-04-29 14:38:16.257248,96635,-0.328,-0.357,10.831,0.005,0.043,-0.030,91408,awake
2025-04-29 14:38:16.273280,96655,-0.249,-0.373,10.817,-0.032,0.041,-0.017,91460,awake
2025-04-29 14:38:16.309811,96675,-0.201,-0.256,10.755,-0.044,0.058,-0.017,91104,awake
2025-04-29 14:38:16.333373,96695,-0.175,-0.235,10.750,-0.030,0.054,-0.005,90318,awake
2025-04-29 14:38:16.349589,96715,-0.292,-0.369,10.793,-0.027,0.044,0.002,89445,awake
2025-04-29 14:38:16.361459,96735,-0.304,-0.431,10.786,-0.036,0.029,-0.011,88910,awake
2025-04-29 14:38:16.395455,96755,-0.239,-0.402,10.776,-0.056,0.020,-0.014,88734,awake
2025-04-29 14:38:16.414349,96775,-0.187,-0.426,10.779,-0.068,0.012,-0.011,88838,awake
2025-04-29 14:38:16.433174,96795,-0.230,-0.426,10.731,-0.080,0.013,-0.007,89169,awake
2025-04-29 14:38:16.459009,96815,-0.239,-0.318,10.760,-0.080,0.033,-0.013,89516,awake
2025-04-29 14:38:16.558888,96835,-0.237,-0.294,10.752,-0.081,0.022,-0.005,89751,awake
2025-04-29 14:38:16.558888,96855,-0.268,-0.397,10.781,-0.090,0.030,-0.010,90030,awake
2025-04-29 14:38:16.558888,96875,-0.194,-0.417,10.793,-0.105,0.033,-0.015,90338,awake
2025-04-29 14:38:16.558888,96895,-0.165,-0.472,10.760,-0.109,0.041,-0.006,90727,awake
2025-04-29 14:38:16.558888,96915,-0.261,-0.555,10.726,-0.096,0.040,0.000,91019,awake
2025-04-29 14:38:16.558888,96935,-0.263,-0.448,10.659,-0.047,0.043,-0.003,91307,awake
2025-04-29 14:38:16.577578,96955,-0.180,-0.328,10.762,0.010,0.042,0.003,91618,awake
2025-04-29 14:38:16.607614,96975,-0.215,-0.376,10.841,0.014,0.022,0.015,91830,awake
2025-04-29 14:38:16.625584,96995,-0.247,-0.534,10.867,-0.048,0.033,0.014,92003,awake
2025-04-29 14:38:16.649087,97015,-0.275,-0.632,10.807,-0.127,0.046,0.000,92127,awake
2025-04-29 14:38:16.659074,97035,-0.182,-0.579,10.716,-0.136,0.048,-0.015,92229,awake
2025-04-29 14:38:16.675688,97055,-0.194,-0.448,10.630,-0.073,0.047,-0.008,91830,awake
2025-04-29 14:38:16.710098,97075,-0.215,-0.450,10.659,-0.000,0.031,0.006,92604,awake
2025-04-29 14:38:16.730933,97095,-0.223,-0.512,10.781,0.012,0.028,0.014,92870,awake
2025-04-29 14:38:16.746930,97115,-0.225,-0.599,10.846,-0.038,0.037,0.016,93146,awake
2025-04-29 14:38:16.763468,97135,-0.271,-0.613,10.767,-0.084,0.048,0.003,93444,awake
2025-04-29 14:38:16.792907,97155,-0.218,-0.546,10.714,-0.082,0.049,0.000,93748,awake
2025-04-29 14:38:16.810519,97175,-0.184,-0.524,10.685,-0.036,0.040,0.014,93971,awake
2025-04-29 14:38:16.831503,97195,-0.218,-0.551,10.707,0.003,0.033,0.028,94101,awake
2025-04-29 14:38:16.972996,97215,-0.261,-0.555,10.781,0.003,0.031,0.026,94237,awake
2025-04-29 14:38:16.973675,97235,-0.261,-0.565,10.776,-0.029,0.039,0.010,94385,awake
2025-04-29 14:38:16.973675,97255,-0.251,-0.558,10.776,-0.057,0.048,0.002,94558,awake
2025-04-29 14:38:16.973675,97275,-0.199,-0.570,10.728,-0.059,0.047,0.005,94772,awake
2025-04-29 14:38:16.973675,97295,-0.208,-0.613,10.750,-0.046,0.039,0.011,94742,awake
2025-04-29 14:38:16.973675,97315,-0.239,-0.620,10.697,-0.029,0.037,0.008,94463,awake
2025-04-29 14:38:16.973675,97335,-0.251,-0.584,10.733,-0.016,0.037,0.004,93628,awake
2025-04-29 14:38:16.988755,97355,-0.247,-0.603,10.745,-0.011,0.036,0.002,92603,awake
2025-04-29 14:38:17.004965,97375,-0.247,-0.637,10.712,-0.014,0.034,-0.002,91615,awake
2025-04-29 14:38:17.024907,97395,-0.232,-0.587,10.719,-0.007,0.033,-0.009,91095,awake
2025-04-29 14:38:17.036554,97415,-0.204,-0.486,10.740,0.009,0.031,-0.007,91053,awake
2025-04-29 14:38:17.072457,97435,-0.177,-0.548,10.791,0.003,0.027,-0.002,91240,awake
2025-04-29 14:38:17.086145,97455,-0.225,-0.622,10.776,-0.027,0.032,-0.006,91539,awake
2025-04-29 14:38:17.113167,97475,-0.273,-0.639,10.738,-0.049,0.035,-0.014,91837,awake
2025-04-29 14:38:17.124034,97495,-0.249,-0.563,10.669,-0.033,0.041,-0.015,92080,awake
2025-04-29 14:38:17.146401,97515,-0.239,-0.529,10.664,0.006,0.036,-0.014,92315,awake
2025-04-29 14:38:17.166018,97535,-0.223,-0.567,10.772,0.015,0.032,-0.011,92482,awake
2025-04-29 14:38:17.188575,97555,-0.223,-0.603,10.786,-0.008,0.036,-0.015,92703,awake
2025-04-29 14:38:17.193562,97575,-0.208,-0.582,10.783,-0.032,0.040,-0.017,92902,awake
2025-04-29 14:38:17.334464,97595,-0.230,-0.601,10.702,-0.028,0.040,-0.014,92974,awake
2025-04-29 14:38:17.334464,97615,-0.235,-0.567,10.669,0.003,0.039,-0.013,92965,awake
2025-04-29 14:38:17.341177,97635,-0.215,-0.548,10.728,0.028,0.034,-0.011,92814,awake
2025-04-29 14:38:17.341177,97655,-0.244,-0.553,10.798,0.025,0.030,-0.012,92655,awake
2025-04-29 14:38:17.341177,97675,-0.218,-0.570,10.800,0.004,0.030,-0.013,92461,awake
2025-04-29 14:38:17.341177,97695,-0.237,-0.563,10.736,-0.010,0.029,-0.016,92417,awake
2025-04-29 14:38:17.359719,97715,-0.218,-0.565,10.714,0.002,0.028,-0.018,92425,awake
2025-04-29 14:38:17.374835,97735,-0.199,-0.505,10.736,0.025,0.025,-0.018,92507,awake
2025-04-29 14:38:17.384291,97755,-0.211,-0.524,10.745,0.031,0.027,-0.022,92490,awake
