ServerTime,ESP_ms,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ,IR
2025-04-29 13:55:39.113015,21171,4.154,3.290,-6.218,0.549,0.882,1.471,2354
2025-04-29 13:55:39.135418,21191,1.001,4.585,-8.452,0.062,0.120,0.339,2141
2025-04-29 13:55:39.152508,21211,4.882,1.860,-6.689,-0.989,-0.780,-0.284,1965
2025-04-29 13:55:39.174770,21231,5.906,1.123,-7.439,0.026,-0.544,-0.370,1812
2025-04-29 13:55:39.194110,21251,5.413,2.521,-8.337,0.266,-0.069,0.472,1688
2025-04-29 13:55:39.213631,21271,6.088,2.928,-6.802,-0.094,0.041,-0.211,1642
2025-04-29 13:55:39.237365,21291,5.693,2.049,-7.015,-0.029,0.088,-0.114,1623
2025-04-29 13:55:39.253828,21311,5.258,2.624,-7.094,0.197,0.192,-0.149,1662
2025-04-29 13:55:39.276842,21331,4.877,3.096,-7.171,0.086,0.151,-0.202,1633
2025-04-29 13:55:39.294713,21351,4.755,3.211,-7.101,-0.034,0.076,0.057,1614
2025-04-29 13:55:39.313819,21371,4.994,2.708,-7.061,-0.153,-0.055,0.086,1780
2025-04-29 13:55:39.334025,21391,5.294,2.337,-7.020,-0.090,-0.078,0.111,2046
2025-04-29 13:55:39.352462,21411,5.461,2.241,-7.187,-0.006,-0.045,-0.059,2234
2025-04-29 13:55:39.368841,21431,5.394,2.559,-7.278,0.077,0.069,-0.078,2331
2025-04-29 13:55:39.394398,21451,5.193,2.873,-7.211,0.030,0.122,-0.092,2281
2025-04-29 13:55:39.420137,21471,5.035,2.909,-7.094,-0.026,0.120,0.027,2110
2025-04-29 13:55:39.428910,21491,4.997,2.670,-7.056,-0.086,0.038,0.046,1835
2025-04-29 13:55:39.449392,21511,5.121,2.454,-7.077,-0.053,-0.024,0.043,1706
2025-04-29 13:55:39.474935,21531,5.274,2.428,-7.132,-0.003,-0.039,-0.050,1600
2025-04-29 13:55:39.494380,21551,5.303,2.638,-7.228,0.043,0.023,-0.054,1590
2025-04-29 13:55:39.515915,21571,5.222,2.813,-7.190,-0.002,0.072,-0.044,1864
2025-04-29 13:55:39.537550,21591,5.133,2.772,-7.149,-0.048,0.086,0.031,2205
2025-04-29 13:55:39.546031,21611,5.131,2.557,-7.075,-0.063,0.050,0.031,3108
2025-04-29 13:55:39.577247,21631,5.167,2.478,-7.056,-0.024,0.013,-0.007,5074
2025-04-29 13:55:39.594045,21651,5.193,2.569,-7.140,0.013,0.003,-0.056,7516
2025-04-29 13:55:39.616336,21671,5.193,2.715,-7.202,0.012,0.029,-0.031,10424
2025-04-29 13:55:39.639715,21691,5.169,2.763,-7.175,-0.027,0.049,-0.007,13170
2025-04-29 13:55:39.654507,21711,5.167,2.677,-7.123,-0.044,0.054,0.021,15124
2025-04-29 13:55:39.669007,21731,5.179,2.545,-7.113,-0.038,0.038,0.007,19014
2025-04-29 13:55:39.679417,21751,5.181,2.535,-7.104,-0.013,0.026,-0.016,27509
2025-04-29 13:55:39.713589,21771,5.198,2.612,-7.137,0.004,0.026,-0.035,42502
2025-04-29 13:55:39.738282,21791,5.171,2.708,-7.168,0.001,0.041,-0.018,63246
2025-04-29 13:55:39.754400,21811,5.155,2.708,-7.147,-0.030,0.048,0.000,81759
2025-04-29 13:55:39.774296,21831,5.169,2.653,-7.116,-0.042,0.040,0.011,91646
2025-04-29 13:55:39.795005,21851,5.179,2.540,-7.118,-0.025,0.031,0.004,96561
2025-04-29 13:55:39.813339,21871,5.205,2.567,-7.125,-0.007,0.028,-0.027,98748
2025-04-29 13:55:39.833842,21891,5.203,2.672,-7.168,0.002,0.035,-0.033,100837
